metric,estimate,ci_low,ci_high
accuracy,0.9127806563039723,0.8920006670707983,0.9316521264994547
balanced_accuracy,0.5318161732213875,0.4984665607843259,0.5682640012844375
macro_f1,0.5379254489066235,0.49632212227348316,0.5826726426266432
weighted_f1,0.9016392263621529,0.8787161371614006,0.921532567528395
sensitivity,0.0958904109589041,0.02857142857142857,0.16447459684411303
specificity,0.967741935483871,0.9551338421264299,0.979830916126293
ppv,0.16666666666666666,0.05552123552123553,0.3
npv,0.9408602150537635,0.9260482098503552,0.9534409340659341
brier,0.0943904205397455,0.08485293696902309,0.10469067035947421
prevalence,0.06303972366148532,0.049937648456057006,0.07771595547391173
roc_auc,0.5910737958462219,0.5216239116875787,0.65804348404503
pr_auc,0.10003752899655344,0.072691049943365,0.15052150635215106
