metric,estimate,ci_low,ci_high
accuracy,0.9119170984455959,0.8908814392592832,0.9310667133122414
balanced_accuracy,0.5249668581528943,0.4953868059378299,0.5576503231879137
macro_f1,0.5294708160045891,0.4903591831196302,0.5722687596687989
weighted_f1,0.9001946070297796,0.8770900224734081,0.9207612773120951
sensitivity,0.0821917808219178,0.020626700146474167,0.14620901639344255
specificity,0.967741935483871,0.9555241141732284,0.9793457632996742
ppv,0.14634146341463414,0.042992599444958375,0.2727272727272727
npv,0.9400179051029544,0.9251936012004293,0.952927040398699
brier,0.0941030333257553,0.08470352071566617,0.10408979841769399
prevalence,0.06303972366148532,0.049937648456057006,0.07771595547391173
roc_auc,0.5783852029543589,0.5037760777616623,0.6480775470142675
pr_auc,0.09882405967330109,0.07284736581729107,0.1505760879035767
