metric,estimate,ci_low,ci_high
accuracy,0.6865284974093264,0.6543565432651156,0.7178302030346507
balanced_accuracy,0.6842015862034887,0.6534909020152069,0.7148841625961265
macro_f1,0.6803496159441174,0.6501218486516698,0.7116287182157951
weighted_f1,0.6885625391338983,0.656695517625975,0.719925296773152
sensitivity,0.6716101694915254,0.6244444444444445,0.7183007102026675
specificity,0.6967930029154519,0.6535281265386509,0.7399933174677084
ppv,0.6038095238095238,0.55249624790324,0.6524069198249647
npv,0.7551342812006319,0.7119016669533708,0.7938354629122724
brier,0.20064892521103658,0.18770707209084633,0.21239862182653418
prevalence,0.4075993091537133,0.3620807604732723,0.4537951931061598
roc_auc,0.7507659238029353,0.715955354283617,0.783029942742546
pr_auc,0.6325980934621147,0.573081591621347,0.692678700821824
