metric,estimate,ci_low,ci_high
accuracy,0.8471502590673575,0.8194608970639025,0.8748560024252223
balanced_accuracy,0.6962890625,0.6457750515627992,0.747948006482459
macro_f1,0.6712944327284682,0.6249099314663344,0.7155103720223376
weighted_f1,0.8560780046784228,0.8310089627379943,0.8825398156360903
sensitivity,0.5,0.3940777972027972,0.6002435720050732
specificity,0.892578125,0.8675224004368843,0.914463033007879
ppv,0.3785310734463277,0.2883258977951479,0.45753759398496235
npv,0.9317023445463812,0.9148432912552804,0.9480192016053499
brier,0.1249812357225257,0.11095387545285566,0.13874040794549683
prevalence,0.1157167530224525,0.08838808476577459,0.1406353847250945
roc_auc,0.7637666161380597,0.7025722564410323,0.8080232726529529
pr_auc,0.3232047056955354,0.24004679965740428,0.4159445330410515
