metric,estimate,ci_low,ci_high
accuracy,0.729706390328152,0.6988074291300098,0.7587859403851226
balanced_accuracy,0.6923611111111112,0.6529299630885677,0.7266580592258459
macro_f1,0.6710475085833463,0.6350125177011252,0.7035796240151153
weighted_f1,0.7408623739728697,0.7107615211077808,0.7703049878445641
sensitivity,0.6180555555555556,0.5466081409964965,0.6836258865248227
specificity,0.7666666666666667,0.73196111301896,0.7962382233964596
ppv,0.4671916010498688,0.4073581085105116,0.5236523781561949
npv,0.8584298584298584,0.8312185578788923,0.8860077079600074
brier,0.1824273354672099,0.16870838911167918,0.19656629720556554
prevalence,0.24870466321243523,0.21366397132283882,0.2860349513206429
roc_auc,0.7540229885057471,0.715850010871255,0.787917372280014
pr_auc,0.45674231751212124,0.38980471322202054,0.5292257285948879
