metric,estimate,ci_low,ci_high
accuracy,0.729706390328152,0.6972677144214288,0.7601293269601418
balanced_accuracy,0.6865541187739463,0.643142532796644,0.7240192679318185
macro_f1,0.668071170909637,0.6296104262462006,0.7048315889120936
weighted_f1,0.7399583406522737,0.708781444062123,0.7711105634683196
sensitivity,0.6006944444444444,0.520635766672352,0.6688102893890675
specificity,0.7724137931034483,0.7365401269164609,0.8028872201714694
ppv,0.46630727762803237,0.4007579787234043,0.5240192206424433
npv,0.8538754764930114,0.8245806277056277,0.8809693387048003
brier,0.1808086292467889,0.16668626826888547,0.19526124656799124
prevalence,0.24870466321243523,0.21366397132283882,0.2860349513206429
roc_auc,0.7551444763729246,0.7148651606470681,0.789325812790889
pr_auc,0.46037035120639713,0.39351190724876417,0.5404289139193234
